,證券代號,證券名稱
688,2913,農林
689,2915,潤泰全
690,2923,鼎固-KY
691,2929,淘帝-KY
692,2939,凱羿-KY
693,2945,三商家購
694,3002,歐格
695,3003,健和興
696,3004,豐達科
697,3005,神基
698,3006,晶豪科
699,3008,大立光
700,3010,華立
701,3011,今皓
702,3013,晟銘電
703,3014,聯陽
704,3015,全漢
705,3016,嘉晶
706,3017,奇鋐
707,3018,同開
708,3019,亞光
709,3021,鴻名
710,3022,威強電
711,3023,信邦
712,3024,憶聲
713,3025,星通
714,3026,禾伸堂
715,3027,盛達
716,3028,增你強
717,3029,零壹
718,3030,德律
719,3031,佰鴻
720,3032,偉訓
721,3033,威健
722,3034,聯詠
723,3035,智原
724,3036,文曄
725,3036A,文曄甲特
726,3037,欣興
727,3038,全台
728,3040,遠見
729,3041,揚智
730,3042,晶技
731,3043,科風
732,3044,健鼎
733,3045,台灣大
734,3046,建碁
735,3047,訊舟
736,3048,益登
737,3049,和鑫
738,3050,鈺德
739,3051,力特
740,3052,夆典
741,3054,立萬利
742,3055,蔚華科
743,3056,總太
744,3057,喬鼎
745,3058,立德
746,3059,華晶科
747,3060,銘異
748,3062,建漢
749,3090,日電貿
750,3092,鴻碩
751,3094,聯傑
752,3130,一零四
753,3138,耀登
754,3149,正達
755,3164,景岳
756,3167,大量
757,3189,景碩
758,3209,全科
759,3229,晟鈦
760,3231,緯創
761,3257,虹冠電
762,3266,昇陽
763,3296,勝德
764,3305,昇貿
765,3308,聯德
766,3311,閎暉
767,3312,弘憶股
768,3321,同泰
769,3338,泰碩
770,3346,麗清
771,3356,奇偶
772,3376,新日興
773,3380,明泰
774,3383,新世紀
775,3406,玉晶光
776,3413,京鼎
777,3416,融程電
778,3419,譁裕
779,3432,台端
780,3437,榮創
781,3443,創意
782,3450,聯鈞
783,3454,晶睿
784,3481,群創
785,3494,誠研
786,3501,維熹
787,3504,揚明光
788,3515,華擎
789,3518,柏騰
790,3528,安馳
791,3530,晶相光
792,3532,台勝科
793,3533,嘉澤
794,3535,晶彩科
795,3536,誠創
796,3543,州巧
797,3545,敦泰
798,3550,聯穎
799,3557,嘉威
800,3563,牧德
801,3576,聯合再生
802,3583,辛耘
803,3588,通嘉
804,3591,艾笛森
805,3592,瑞鼎
806,3593,力銘
807,3596,智易
808,3605,宏致
809,3607,谷崧
810,3617,碩天
811,3622,洋華
812,3645,達邁
813,3653,健策
814,3661,世芯-KY
815,3665,貿聯-KY
816,3669,圓展
817,3673,TPK-KY
818,3679,新至陞
819,3682,亞太電
820,3686,達能
821,3694,海華
822,3701,大眾控
823,3702,大聯大
824,3702A,大聯大甲特
825,3703,欣陸
826,3704,合勤控
827,3705,永信
828,3706,神達
829,3708,上緯投控
830,3711,日月光投控
831,3712,永崴投控
832,3714,富采
833,4104,佳醫
834,4106,雃博
835,4108,懷特
836,4119,旭富
837,4133,亞諾法
838,4137,麗豐-KY
839,4142,國光生
840,4148,全宇生技-KY
841,4155,訊映
842,4164,承業醫
843,4190,佐登-KY
844,4306,炎洲
845,4414,如興
846,4426,利勤
847,4438,廣越
848,4439,冠星-KY
849,4440,宜新實業
850,4526,東台
851,4532,瑞智
852,4536,拓凱
853,4540,全球傳動
854,4545,銘鈺
855,4551,智伸科
856,4552,力達-KY
857,4555,氣立
858,4557,永新-KY
859,4560,強信-KY
860,4562,穎漢
861,4564,元翎
862,4566,時碩工業
863,4571,鈞興-KY
864,4572,駐龍
865,4576,大銀微系統
866,4581,光隆精密-KY
867,4583,台灣精銳
868,4720,德淵
869,4722,國精化
870,4737,華廣
871,4739,康普
872,4746,台耀
873,4755,三福化
874,4763,材料-KY
875,4764,雙鍵
876,4766,南寶
877,4770,上品
878,4807,日成-KY
879,4904,遠傳
880,4906,正文
881,4912,聯德控股-KY
882,4915,致伸
883,4916,事欣科
884,4919,新唐
885,4927,泰鼎-KY
886,4930,燦星網
887,4934,太極
888,4935,茂林-KY
889,4938,和碩
890,4942,嘉彰
891,4943,康控-KY
892,4952,凌通
893,4956,光鋐
894,4958,臻鼎-KY
895,4960,誠美材
896,4961,天鈺
897,4967,十銓
898,4968,立積
899,4976,佳凌
900,4977,眾達-KY
901,4989,榮科
902,4994,傳奇
903,4999,鑫禾
904,5007,三星
905,5203,訊連
906,5215,科嘉-KY
907,5222,全訊
908,5225,東科-KY
909,5234,達興材料
910,5243,乙盛-KY
911,5244,弘凱
912,5258,虹堡
913,5269,祥碩
914,5283,禾聯碩
915,5284,jpp-KY
916,5285,界霖
917,5288,豐祥-KY
918,5306,桂盟
919,5388,中磊
920,5434,崇越
921,5469,瀚宇博
922,5471,松翰
923,5484,慧友
924,5515,建國
925,5519,隆大
926,5521,工信
927,5522,遠雄
928,5525,順天
929,5531,鄉林
930,5533,皇鼎
931,5534,長虹
932,5538,東明-KY
933,5546,永固-KY
934,5607,遠雄港
935,5608,四維航
936,5706,鳳凰
937,5871,中租-KY
938,5871A,中租-KY甲特
939,5876,上海商銀
940,5880,合庫金
941,5906,台南-KY
942,5907,大洋-KY
943,6005,群益證
944,6024,群益期
945,6108,競國
946,6112,聚碩
947,6115,鎰勝
948,6116,彩晶
949,6117,迎廣
950,6120,達運
951,6128,上福
952,6133,金橋
953,6136,富爾特
954,6139,亞翔
